,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15118,6.4,2015.0,Romance,28 Suì Wèi Chéngnián,461.0,USA
15119,5.6,2009.0,Crime,The Stepfather,26784.0,USA
15120,5.6,2009.0,Thriller,The Stepfather,26784.0,USA
15132,7.5,2010.0,Animation,Karafuru,3998.0,Japan
15133,7.5,2010.0,Drama,Karafuru,3998.0,Japan
15134,7.5,2010.0,Fantasy,Karafuru,3998.0,Japan
15135,7.5,2010.0,Mystery,Karafuru,3998.0,Japan
15144,5.4,2012.0,Crime,Swerve,1611.0,USA
15145,5.4,2012.0,Drama,Swerve,1611.0,USA
15146,5.4,2012.0,Thriller,Swerve,1611.0,USA
15147,7.6,1943.0,Drama,Jane Eyre,6989.0,USA
15148,7.6,1943.0,Romance,Jane Eyre,6989.0,USA
15149,6.5,2012.0,Drama,The Lucky One,91067.0,USA
15150,6.5,2012.0,Romance,The Lucky One,91067.0,USA
15151,7.7,2015.0,Comedy,Crazy Ex-Girlfriend,12043.0,2015– 
15152,7.7,2015.0,Musical,Crazy Ex-Girlfriend,12043.0,2015– 
15153,6.4,1940.0,Crime,Glamour for Sale,69.0,USA
15154,6.4,1940.0,Drama,Glamour for Sale,69.0,USA
15155,6.2,2006.0,Drama,All the King's Men,22337.0,USA
15156,6.2,2006.0,Thriller,All the King's Men,22337.0,USA
15162,5.6,2016.0,Comedy,They're Watching,3243.0,USA
15163,5.6,2016.0,Horror,They're Watching,3243.0,USA
15164,5.6,2016.0,Thriller,They're Watching,3243.0,USA
15165,5.0,2018.0,Horror,Realms,126.0,Cambodia
15166,5.0,2018.0,Mystery,Realms,126.0,Cambodia
15167,4.8,2008.0,Horror,Brotherhood of Blood,3142.0,USA
15168,4.8,2008.0,Thriller,Brotherhood of Blood,3142.0,USA
15169,4.8,2016.0,Horror,Berkshire County,1390.0,Philippines
15170,4.8,2016.0,Thriller,Berkshire County,1390.0,Philippines
15176,6.2,2017.0,Action,6 Days,12493.0,USA
15177,6.2,2017.0,Drama,6 Days,12493.0,USA
15178,6.2,2017.0,History,6 Days,12493.0,USA
15179,6.2,2017.0,Thriller,6 Days,12493.0,USA
15180,5.7,2013.0,Drama,After the Dark,19488.0,Russia
15181,5.7,2013.0,Fantasy,After the Dark,19488.0,Russia
15182,5.7,2013.0,Sci-Fi,After the Dark,19488.0,Russia
15183,4.7,1986.0,Drama,Savage Dawn,203.0,West Germany
15184,4.7,1986.0,Action,Savage Dawn,203.0,West Germany
15185,6.9,1933.0,Crime,Penthouse,817.0,USA
15186,6.9,1933.0,Mystery,Penthouse,817.0,USA
15187,6.9,1933.0,Romance,Penthouse,817.0,USA
15188,5.7,2017.0,Comedy,Meri Pyaari Bindu,2713.0,USA
15189,5.7,2017.0,Drama,Meri Pyaari Bindu,2713.0,USA
15190,5.7,2017.0,Romance,Meri Pyaari Bindu,2713.0,USA
15191,4.3,1985.0,Action,Gymkata,3386.0,USA
15192,4.3,1985.0,Thriller,Gymkata,3386.0,USA
15193,6.4,1985.0,Comedy,Maccheroni,596.0,Italy
15194,6.4,1985.0,Drama,Maccheroni,596.0,Italy
15195,5.8,2011.0,Action,The Kick,761.0,USA
15196,5.8,2011.0,Sport,The Kick,761.0,USA
15197,7.1,1939.0,Comedy,It's a Wonderful World,2190.0,USA
15198,7.1,1939.0,Crime,It's a Wonderful World,2190.0,USA
15199,7.1,1939.0,Mystery,It's a Wonderful World,2190.0,USA
15200,7.1,1939.0,Romance,It's a Wonderful World,2190.0,USA
15201,7.3,2011.0,Crime,Breakout Kings,13960.0,2011–2012
15202,7.3,2011.0,Drama,Breakout Kings,13960.0,2011–2012
15203,7.3,2011.0,Thriller,Breakout Kings,13960.0,2011–2012
15204,6.0,2007.0,Comedy,Catch and Release,21151.0,USA
15205,6.0,2007.0,Drama,Catch and Release,21151.0,USA
15206,6.0,2007.0,Romance,Catch and Release,21151.0,USA
15207,6.1,2002.0,Action,Men in Black II,300702.0,USA
15208,6.1,2002.0,Adventure,Men in Black II,300702.0,USA
15209,6.1,2002.0,Comedy,Men in Black II,300702.0,USA
15210,6.1,2002.0,Mystery,Men in Black II,300702.0,USA
15211,6.1,2002.0,Sci-Fi,Men in Black II,300702.0,USA
15212,6.0,2010.0,Comedy,Is It Just Me?,2502.0,USA
15213,6.0,2010.0,Romance,Is It Just Me?,2502.0,USA
15214,6.7,1992.0,Comedy,White Men Can't Jump,67035.0,USA
15215,6.7,1992.0,Drama,White Men Can't Jump,67035.0,USA
15216,6.7,1992.0,Sport,White Men Can't Jump,67035.0,USA
15223,6.5,2017.0,Comedy,Better Watch Out,19069.0,USA
15224,6.5,2017.0,Crime,Better Watch Out,19069.0,USA
15225,6.5,2017.0,Horror,Better Watch Out,19069.0,USA
15226,6.5,2017.0,Thriller,Better Watch Out,19069.0,USA
15227,6.4,1948.0,Action,Tarzan and the Mermaids,1792.0,USA
15228,6.4,1948.0,Adventure,Tarzan and the Mermaids,1792.0,USA
15229,6.4,1948.0,Romance,Tarzan and the Mermaids,1792.0,USA
15237,7.1,1951.0,Crime,He Ran All the Way,1552.0,USA
15238,7.1,1951.0,Drama,He Ran All the Way,1552.0,USA
15239,7.1,1951.0,Film-Noir,He Ran All the Way,1552.0,USA
15240,7.1,1951.0,Thriller,He Ran All the Way,1552.0,USA
